x,y,neg,neu,pos,compound,episode,line
katara,sokka,0.426,0.574,0.0,-0.6369,2,"[Irritably, clenching her fists.] Sokka, you're making a mistake."
katara,aang,0.078,0.614,0.308,0.8043,2,"[Angrily.] Aang is not our enemy! [Continues in a calm, soothing voice.] Don't you see? Aang's brought us something we haven't had in a long time: fun."
katara,sokka,0.0,0.73,0.27,0.3802,2,"[Pleading.] Grandmother, please. Don't let Sokka do this!"
kanna,katara,0.193,0.655,0.153,-0.0258,2,"[Gravely.] Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves."
kanna,sokka,0.193,0.655,0.153,-0.0258,2,"[Gravely.] Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves."
katara,aang,0.311,0.592,0.097,-0.6103,2,"[Outraged.] Fine! Then I'm banished, too! [Drags Aang away.] Come on Aang, let's go."
katara,aang,0.189,0.811,0.0,-0.4215,2,[Angrily.] To find a waterbender. Aang is taking me to the North Pole.
sokka,katara,0.0,1.0,0.0,0.0,2,Katara! Would you really choose him over your tribe? [Shows shot of the entire Southern Water Tribe.] Your own family?
aang,katara,0.1,0.9,0.0,-0.0572,2,"[Understanding.] Katara, I don't want to come between you and your family."
sokka,appa,0.16,0.84,0.0,-0.2732,2,"[Sarcastically, with arms crossed.] Let's see your bison fly now, air boy."
aang,appa,0.0,0.708,0.292,0.5093,2,"[Encouragingly.] Come on Appa, you can do it. Yip-yip!"
southern water tribe girl,aang,0.12,0.818,0.062,-0.3252,2,"[Runs from crowd to stand next to Katara with tears in her eyes.] Ahhh! [Close-up.] Aang, don't go! I'll miss you!"
kanna,katara,0.115,0.733,0.152,0.1779,2,"[Consoling tone.] Katara, you'll feel better after you- [Katara quickly turns around and cuts her off.]"
aang,appa,0.15,0.725,0.125,-0.2481,2,"[Sorrowfully.] Yeah, I liked her too. [Catches sight of Fire Nation ship advancing toward the Southern Water Tribe; gasps.] The village! [He slides off the ice formation onto the ground.] Appa, wait here."
katara,sokka,0.0,1.0,0.0,0.0,2,"[Hysterically.] Sokka, get out of the way!"
aang,katara,0.0,0.721,0.279,0.4767,2,"[Cheerfully, despite the present situation.] Hey, Katara. Hey, Sokka."
aang,sokka,0.0,0.721,0.279,0.4767,2,"[Cheerfully, despite the present situation.] Hey, Katara. Hey, Sokka."
sokka,aang,0.25,0.435,0.315,0.1531,2,"[Moodily.] Hi, Aang. Thanks for coming."
zuko,aang,0.307,0.693,0.0,-0.3939,2,[Shocked.] You're the airbender? You're the Avatar?
katara,aang,0.0,0.345,0.655,0.2263,2,[Surprised.] Aang?
katara,aang,0.404,0.596,0.0,-0.5242,2,"[Sadly.] No! Aang, don't do this!"
aang,appa,0.124,0.607,0.27,0.6711,2,"[Surprisingly calm.] Don't worry, Katara. It'll be okay. [He gasps when he is shoved on the walkway. Katara's face contorts with sadness and fright.] Take care of Appa for me until I get back."
aang,katara,0.124,0.607,0.27,0.6711,2,"[Surprisingly calm.] Don't worry, Katara. It'll be okay. [He gasps when he is shoved on the walkway. Katara's face contorts with sadness and fright.] Take care of Appa for me until I get back."
katara,aang,0.0,0.787,0.213,0.8126,2,"[Sokka is seen in the background, carrying a pack as she speaks on a determined tone.] We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him."
katara,sokka,0.0,0.787,0.213,0.8126,2,"[Sokka is seen in the background, carrying a pack as she speaks on a determined tone.] We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him."
sokka,katara,0.0,1.0,0.0,0.0,2,"Katara, I --"
katara,aang,0.082,0.893,0.025,-0.327,2,"[Making arm gestures to emphasize her words while she speaks in an objective tone.] Why can't you realize that he's on our side? [Cuts to shot of her and her brother, her back to the screen.] If we don't help him, no one will. I know you don't like Aang, but we owe him and --"
sokka,katara,0.204,0.796,0.0,-0.4765,2,"[Cutting her off.] Katara! [Slightly annoyed.] Are you gonna talk all day, or are you comin' with me?"
katara,sokka,0.0,0.747,0.253,0.5255,2,[Running over to her brother.] Sokka! [She gives him a hug.]
kanna,aang,0.0,0.917,0.083,0.25,2,Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.
katara,appa,0.0,0.682,0.318,0.4199,2,[Brightly.] Appa! [Begins running toward the bison.]
zuko,aang,0.062,0.813,0.125,0.5106,2,"This staff will make an excellent gift for my father. [Inspects the staff further.] I suppose you wouldn't know of fathers, being raised by monks. [To his soldiers.] Take the Avatar to the prison hold, [Handing the staff to Iroh.] and take this to my quarters."
katara,aang,0.0,0.609,0.391,0.7717,2,"[Pleading as Appa growls again.] Please, Appa. We need your help. Aang needs your help."
katara,appa,0.0,0.609,0.391,0.7717,2,"[Pleading as Appa growls again.] Please, Appa. We need your help. Aang needs your help."
katara,aang,0.052,0.78,0.168,0.6081,2,"Sokka doesn't believe you can fly, but I do, Appa. [Strokes Appa.] Come on, don't you want to save Aang? [Appa grunts.]"
katara,appa,0.052,0.78,0.168,0.6081,2,"Sokka doesn't believe you can fly, but I do, Appa. [Strokes Appa.] Come on, don't you want to save Aang? [Appa grunts.]"
katara,sokka,0.052,0.78,0.168,0.6081,2,"Sokka doesn't believe you can fly, but I do, Appa. [Strokes Appa.] Come on, don't you want to save Aang? [Appa grunts.]"
katara,sokka,0.0,0.556,0.444,0.4926,2,"[Thrilled.] You did it, Sokka!"
sokka,katara,0.0,0.762,0.238,0.658,2,"[Ecstatically looking over the rim of the saddle.] He's flying! He's flying! Katara, he's -"
aang,appa,0.0,0.218,0.782,0.5562,2,[Ecstatic.] Appa!
katara,aang,0.671,0.329,0.0,-0.6229,2,[Horrified.] Aang! No!
katara,aang,0.0,1.0,0.0,0.0,2,[Voice-over.] Aang! Aang! Aang!
katara,aang,0.337,0.406,0.257,-0.1511,2,[Worried.] Aang! Are you okay?
aang,katara,0.239,0.513,0.248,0.0258,2,"[Weakly.] Hey, Katara. Hey, Sokka. Thanks for coming."
aang,sokka,0.239,0.513,0.248,0.0258,2,"[Weakly.] Hey, Katara. Hey, Sokka. Thanks for coming."
sokka,katara,0.677,0.323,0.0,-0.2714,2,[Complaining.] Katara!
katara,sokka,0.0,1.0,0.0,0.0,2,"[Urgently.] Hurry up, Sokka!"
iroh,ozai,0.287,0.385,0.329,0.296,2,[Calmly.] Good news for the Fire Lord. The Fire Nation's greatest threat is just a little kid.
zuko,iroh,0.163,0.804,0.033,-0.8128,2,"[Holding back rage.] That ""kid"", Uncle, just did this. [Cuts to a shot of the damaged ship, the whole front covered in ice and snow.] I won't underestimate him again. [Yells his order to the soldiers and points at the piles of snow.] Dig the ship out and follow them!"
katara,aang,0.111,0.763,0.126,0.0516,2,"[Curious, but serious.] Why didn't you tell us you were the Avatar?"
katara,aang,0.263,0.737,0.0,-0.8145,2,"But Aang, the world's been waiting for the Avatar to return and finally put an end to this war."
katara,sokka,0.0,0.748,0.252,0.6597,2,"[Faces her brother; cheerfully.] And Sokka, I'm sure you'll get to knock some firebender heads on the way."
aang,katara,0.0,0.69,0.31,0.8433,3,"[Excitedly.] Wait 'til you see it, Katara! The Air Temple is one of the most beautiful places in the world!"
katara,aang,0.0,0.925,0.075,0.1779,3,"[Cautiously.] Aang, I know you're excited, [She turns around to face him.] but it's been a hundred years since you've been home."
aang,sokka,0.0,0.779,0.221,0.5696,3,"[Cheerfully.] Wake up, Sokka! Air Temple, here we come! [Sokka awakens, making groggy noises.]"
aang,sokka,0.159,0.841,0.0,-0.6458,3,"[Alarmed.] Sokka! Wake up! [Aang moves the stick up and down the sleeping bag, only touching Sokka with the tip of it.] There's a prickle snake in your sleeping bag!"
zuko,iroh,0.235,0.714,0.052,-0.5606,3,"Uncle, I want the repairs made as quickly as possible. I don't want to stay too long and risk losing his trail."
iroh,aang,0.0,1.0,0.0,0.0,3,[Disinterested.] You mean the Avatar?
zhao,zuko,0.108,0.892,0.0,-0.5719,3,"[Iroh and Zuko turn, with shocked expressions on their face, toward the camera in the direction the sound came from.] Getting in the way of what, [Close-up of a man with big sideburns dressed in a Fire Nation uniform.] Prince Zuko?"
zuko,zhao,0.302,0.698,0.0,-0.3818,3,[With dislike in his voice.] Captain Zhao.
zhao,iroh,0.0,0.661,0.339,0.8271,3,[Smirks.] It's commander now. And [Bows slightly in Iroh's direction.] General Iroh. Great hero of our nation.
zhao,ozai,0.124,0.722,0.155,0.1531,3,The Fire Lord's brother and son are welcome guests anytime. What brings you to my harbor?
zuko,zhao,0.072,0.865,0.063,-0.1007,3,"Yes. [He holds up one finger, while Iroh stares disinterested in front of him.] You wouldn't believe what happened. [He glances at his uncle, and angrily commands him as he gestures at Zhao.] Uncle! Tell Commander Zhao what happened."
zuko,iroh,0.072,0.865,0.063,-0.1007,3,"Yes. [He holds up one finger, while Iroh stares disinterested in front of him.] You wouldn't believe what happened. [He glances at his uncle, and angrily commands him as he gestures at Zhao.] Uncle! Tell Commander Zhao what happened."
iroh,zhao,0.0,0.69,0.31,0.936,3,"Prince Zuko, show Commander Zhao your respect. [Removes his hand from Zuko's shoulder as he faces Zhao while Zuko just slants his eyes.] We would be honored to join you. Do you have any ginseng tea? It's my favorite."
iroh,zuko,0.0,0.69,0.31,0.936,3,"Prince Zuko, show Commander Zhao your respect. [Removes his hand from Zuko's shoulder as he faces Zhao while Zuko just slants his eyes.] We would be honored to join you. Do you have any ginseng tea? It's my favorite."
katara,aang,0.128,0.802,0.07,-0.2732,3,"[Uneasily.] Aang, before we get to the temple, I want to talk to you about the airbenders."
aang,appa,0.097,0.772,0.131,0.4003,3,"[Cheerfully, as Katara moves her hand back to her side.] You don't understand, Katara. The only way to get to an airbender temple is on a flying bison, and I doubt the Fire Nation has any flying bison! [Caresses Appa's head.] Right, Appa?"
aang,katara,0.097,0.772,0.131,0.4003,3,"[Cheerfully, as Katara moves her hand back to her side.] You don't understand, Katara. The only way to get to an airbender temple is on a flying bison, and I doubt the Fire Nation has any flying bison! [Caresses Appa's head.] Right, Appa?"
katara,aang,0.0,0.328,0.672,0.6239,3,"Aang, it's amazing!"
zhao,ozai,0.153,0.847,0.0,-0.8728,3,"... And by the year's end, the Earth Kingdom capital will be under our rule. [Shift to a bird view of the tent, revealing Zuko, sitting at a table, and Iroh, standing in the corner, looking at some weapons that are placed against the wall. Zhao turns around.] The Fire Lord will finally claim victory in this war."
zhao,aang,0.092,0.908,0.0,-0.3657,3,"[Pulls up alongside Zuko and smirks.] Two years at sea have done little to temper your tongue. So, how is your search for the Avatar going?"
zhao,aang,0.149,0.804,0.046,-0.7757,3,"Did you really expect to? The Avatar died a hundred years ago. [Close-up of Zuko, as he slants his eyes.] Along with the rest of the airbenders. [Close-up of Zhao, whose face contorts in an evil expression.] Unless you have found some evidence that the Avatar is alive?"
zhao,aang,0.148,0.74,0.111,-0.3237,3,"[With an expression of disbelief on his face, as he rises from his chair.] Prince Zuko, the Avatar is the only one who can stop the Fire Nation from winning this war. [Leans in and faces Zuko.] If you have an ounce of loyalty left, you'll tell me what you found."
zhao,zuko,0.148,0.74,0.111,-0.3237,3,"[With an expression of disbelief on his face, as he rises from his chair.] Prince Zuko, the Avatar is the only one who can stop the Fire Nation from winning this war. [Leans in and faces Zuko.] If you have an ounce of loyalty left, you'll tell me what you found."
zuko,aang,0.108,0.846,0.046,-0.4549,3,"I haven't found [Looks up at Zhao and his tone becomes slightly more aggressive.] anything. [Close-up, as he continues on a softer tone, slightly mockingly.] It's like you said. The Avatar probably died a long time ago. [Gets up.] Come on, Uncle, we're going."
zuko,iroh,0.108,0.846,0.046,-0.4549,3,"I haven't found [Looks up at Zhao and his tone becomes slightly more aggressive.] anything. [Close-up, as he continues on a softer tone, slightly mockingly.] It's like you said. The Avatar probably died a long time ago. [Gets up.] Come on, Uncle, we're going."
aang,appa,0.0,0.853,0.147,0.7845,3,"[Excited.] So that's where my friends and I would play airball, [The camera shifts to a shot of a stadium consisting of many tall poles.] and over there [The camera pans to the right to reveal the trio again.] is where the bison would sleep, and ... [Aang sighs.]"
aang,appa,0.176,0.824,0.0,-0.9287,3,"[A bit saddened.] This place used to be full of monks and lemurs and bison. Now there's just a bunch of weeds. [His eyes squint with sadness. The shot changes to a back view of Aang as he stands on the ledge; his clothes flutter in the wind, a dead tree at each side of him. In a sad tone.] I can't believe how much things have changed."
aang,aang,0.0,0.89,0.11,0.555,3,"[Smiling broadly, he stretches out his arms above his head.] Aang, seven! [He forms a Zero with his hands and makes a circular movement with his whole body.] Sokka, zero!"
aang,sokka,0.0,0.89,0.11,0.555,3,"[Smiling broadly, he stretches out his arms above his head.] Aang, seven! [He forms a Zero with his hands and makes a circular movement with his whole body.] Sokka, zero!"
sokka,katara,0.141,0.837,0.023,-0.8793,3,"[Painfully.] Making him feel better is putting me in a world of hurt. [He erects himself, but before he gets up completely, his eyes widen when he sees something in front of him and he crawls to the front. The camera shifts to reveal an old Fire Nation helmet lying in the snow. It has been battered by the elements, and shows signs of cracks and burns. He looks up at his sister.] Katara, check this out."
katara,aang,0.0,1.0,0.0,0.0,3,[Yelling.] Aang! There's something you need to see.
sokka,katara,0.0,0.895,0.105,0.0762,3,"[Arms crossed; stern.] Katara, firebenders were here. You can't pretend they weren't."
katara,aang,0.274,0.726,0.0,-0.7506,3,"I can for Aang's sake. If he finds out that the Fire Nation invaded his home, he'll be devastated."
aang,gyatso,0.0,0.897,0.103,0.6696,3,[Facing the statue again.] Monk Gyatso! The greatest airbender in the world. [Scene switches to a frontal view of the statue as Aang turns around again toward the siblings while gesturing at the statue.] He taught me everything I know.
gyatso,aang,0.0,0.805,0.195,0.5574,3,"[With a calm, soothing and understanding voice.] My ancient cake-making technique isn't the only thing on your mind, is it, Aang?"
aang,aang,0.366,0.634,0.0,-0.6369,3,"[Downcast.] This whole Avatar thing, m-maybe the monks made a mistake."
aang,gyatso,0.0,0.753,0.247,0.5588,3,[Voice-over.] But Gyatso? How do I know if I'm ready for this?
katara,aang,0.153,0.603,0.244,0.3919,3,"But Aang, no one could have survived in there for a hundred years."
aang,aang,0.0,0.756,0.244,0.8268,3,"[Close shot of Aang with Katara visible over his shoulder. He glances hopeful at her over his shoulder. Excited.] Katara, whoever's in there might help figure out this Avatar thing!"
aang,katara,0.0,0.756,0.244,0.8268,3,"[Close shot of Aang with Katara visible over his shoulder. He glances hopeful at her over his shoulder. Excited.] Katara, whoever's in there might help figure out this Avatar thing!"
aang,sokka,0.0,1.0,0.0,0.0,3,"[Shot from over Sokka's shoulder.] The key, Sokka, is airbending."
zuko,aang,0.124,0.876,0.0,-0.34,3,"[Alarmed.] Commander Zhao, [Closer shot of Zuko.] I've been hunting the Avatar for two years and I -"
zuko,zhao,0.124,0.876,0.0,-0.34,3,"[Alarmed.] Commander Zhao, [Closer shot of Zuko.] I've been hunting the Avatar for two years and I -"
zhao,aang,0.238,0.726,0.036,-0.8398,3,"[Cut to a shot from over Zuko's shoulder as Zhao angrily turns around, spreading flames in an arc.] And you failed! [He walks intimidatingly up to Zuko.] Capturing the Avatar is too important to leave in a teenager's hands. He's mine now."
aang,aang,0.0,1.0,0.0,0.0,3,That's the Avatar Cycle.
katara,aang,0.0,1.0,0.0,0.0,3,"[Understanding.] Of course. They're Avatars. All these people are your past lives, Aang."
sokka,katara,0.153,0.847,0.0,-0.4871,3,"[Skeptically.] Past lives? [Aang stops before a statue while Sokka and Katara are still visible in the background.] Katara, you really believe in that stuff?"
katara,aang,0.0,0.939,0.061,0.4215,3,"It's true. [The picture pans up the reveal Aang staring at the statue of an elderly man with a beard. In the background hundreds of statues can be seen spiraling up.] When the Avatar dies, he's reincarnated into the next nation in the cycle."
katara,aang,0.0,1.0,0.0,0.0,3,Aang! Snap out of it!
aang,aang,0.0,1.0,0.0,0.0,3,"That's Avatar Roku, the Avatar before me."
aang,avatar roku,0.0,1.0,0.0,0.0,3,"That's Avatar Roku, the Avatar before me."
aang,roku,0.0,1.0,0.0,0.0,3,"That's Avatar Roku, the Avatar before me."
aang,momo,0.0,0.218,0.782,0.5562,3,[Excitedly.] Lemur!
zuko,aang,0.305,0.601,0.095,-0.6365,3,"[Angrily gets up. Enraged.] Don't underestimate me, Zhao! I will capture the Avatar before you!"
zuko,zhao,0.305,0.601,0.095,-0.6365,3,"[Angrily gets up. Enraged.] Don't underestimate me, Zhao! I will capture the Avatar before you!"
iroh,zuko,0.0,0.792,0.208,0.2732,3,"[Gets up as well; sternly.] Prince Zuko, that's enough."
zhao,zuko,0.182,0.695,0.124,-0.3257,3,"[Confidently.] You can't compete with me. I have hundreds of war ships under my command and you? You're just a banished prince. No home, no allies. Your own father doesn't even want you."
zuko,aang,0.164,0.585,0.25,0.4738,3,"[Angrily.] You're wrong! Once I deliver the Avatar to my father, he will welcome me home with honor, and restore my rightful place on the throne!"
zhao,aang,0.226,0.774,0.0,-0.9253,3,"[Close-up of Zhao, as the camera pans to the right to slowly reveal his whole face.] If your father really wanted you home, he would have let you return by now, Avatar or no Avatar. But in his eyes you are a failure and a disgrace to the Fire Nation."
zhao,iroh,0.206,0.719,0.075,-0.6378,3,Very well. [Zhao erects himself.] It's a shame your father won't be here to watch me humiliate you. [Turns around.] I guess your uncle will do.
iroh,zuko,0.146,0.854,0.0,-0.4767,3,"[Camera pans slowly to the right to a full close-up of Zuko. Worried.] Prince Zuko, have you forgotten what happened last time you dueled a master?"
aang,momo,0.099,0.766,0.135,0.4043,3,"[Follows the lemur.] Hey! Come back! [Cut to a shot from inside the tent, as Aang pushes the decaying curtain of drapes out of the way. Happily looks around.] Come on out, little lemur! That hungry guy won't bother you anymore."
aang,gyatso,0.8,0.2,0.0,-0.6124,3,[Devastated.] Gyatso.
sokka,aang,0.015,0.867,0.118,0.8674,3,"[Happily.] Hey, Aang! You find my dinner yet? [Cut to a side-view of Aang sitting on his knees, his head cupped in his hands. Sokka walks toward him. Reassuring.] Aang, I wasn't really going to eat the lemur, okay? [He approaches Aang with a smile on his face, but shakes his head and does a double take.] Oh, man. [Switch to a shot of the skeleton of the monk, which slowly moves back to reveal that Sokka places a hand on Aang's shoulder.] Come on, Aang. Everything will be all right. Let's get out of here."
sokka,momo,0.015,0.867,0.118,0.8674,3,"[Happily.] Hey, Aang! You find my dinner yet? [Cut to a side-view of Aang sitting on his knees, his head cupped in his hands. Sokka walks toward him. Reassuring.] Aang, I wasn't really going to eat the lemur, okay? [He approaches Aang with a smile on his face, but shakes his head and does a double take.] Oh, man. [Switch to a shot of the skeleton of the monk, which slowly moves back to reveal that Sokka places a hand on Aang's shoulder.] Come on, Aang. Everything will be all right. Let's get out of here."
katara,aang,0.714,0.286,0.0,-0.3595,3,[Worried.] Aang!
sokka,aang,0.319,0.681,0.0,-0.5067,3,[Alarmed.] Aang! Come on! Snap out of it!
sokka,gyatso,0.444,0.556,0.0,-0.6996,3,[Shouting.] He found out firebenders killed Gyatso!
katara,aang,0.0,0.793,0.207,0.8741,3,Oh no! It's his Avatar Spirit! [Raises her hand to protect herself against the winds and the flying debris.] He must have triggered it! I'm going to try and calm him down! [Closes an eye against the wind and starts to make her way toward Aang.]
iroh,zuko,0.137,0.664,0.199,0.3182,3,"Remember your firebending basics, [Close-up of Iroh's upper body.] Prince Zuko. They are your greatest weapons."
iroh,zuko,0.0,0.751,0.249,0.4559,3,"Basics, Zuko! [Close-up of Zuko's determined face.] Break his root!"
