Source,Target,weight,book
Arya-Stark,Robb-Stark,14,3
Arya-Stark,Robert-Baratheon,5,3
Arya-Stark,Roose-Bolton,8,3
Arya-Stark,Sandor-Clegane,48,3
Arya-Stark,Sansa-Stark,23,3
Arya-Stark,Thoros-of-Myr,21,3
Arya-Stark,Tickler,5,3
Arya-Stark,Tom-of-Sevenstreams,24,3
Arya-Stark,Tyrion-Lannister,7,3
Axell-Florent,Davos-Seaworth,21,3
Axell-Florent,Lamprey,5,3
Axell-Florent,Melisandre,4,3
Axell-Florent,Porridge,5,3
Axell-Florent,Salladhor-Saan,3,3
Axell-Florent,Selyse-Florent,8,3
Axell-Florent,Stannis-Baratheon,16,3
Azor-Ahai,Stannis-Baratheon,3,3
Baelor-I-Targaryen,Cersei-Lannister,3,3
Baelor-I-Targaryen,Sansa-Stark,3,3
Baelor-I-Targaryen,Tyrion-Lannister,3,3
Ballabar,Frenken,4,3
Ballabar,Tyrion-Lannister,4,3
Balon-Greyjoy,Robb-Stark,6,3
Balon-Greyjoy,Stannis-Baratheon,4,3
Balon-Greyjoy,Tywin-Lannister,4,3
Balon-Swann,Boros-Blount,3,3
Balon-Swann,Jaime-Lannister,5,3
Balon-Swann,Joffrey-Baratheon,5,3
Balon-Swann,Loras-Tyrell,6,3
Balon-Swann,Osmund-Kettleblack,3,3
Balon-Swann,Tyrion-Lannister,4,3
Bannen,Dywen,5,3
Bannen,Samwell-Tarly,11,3
Barristan-Selmy,Daenerys-Targaryen,5,3
Barristan-Selmy,Gerold-Hightower,5,3
Barristan-Selmy,Jaime-Lannister,4,3
Barristan-Selmy,Jorah-Mormont,5,3
Barristan-Selmy,Robert-Baratheon,8,3
Bedwyck,Craster,4,3
Bedwyck,Dywen,3,3
Bedwyck,Eddison-Tollett,4,3
Bedwyck,Grenn,4,3
Bedwyck,Samwell-Tarly,3,3
Belwas,Ben-Plumm,4,3
Belwas,Daenerys-Targaryen,28,3
Belwas,Illyrio-Mopatis,8,3
Belwas,Jhiqui,3,3
Belwas,Jorah-Mormont,18,3
Belwas,Oznak-zo-Pahl,8,3
Ben-Plumm,Daario-Naharis,4,3
Ben-Plumm,Daenerys-Targaryen,10,3
Benjen-Stark,Bran-Stark,3,3
Benjen-Stark,Jeor-Mormont,3,3
Benjen-Stark,Jon-Snow,3,3
Benjen-Stark,Robert-Baratheon,3,3
Beric-Dondarrion,Gendry,4,3
Beric-Dondarrion,Gregor-Clegane,3,3
Beric-Dondarrion,Harwin,7,3
Beric-Dondarrion,Jack-Bulwer,4,3
Beric-Dondarrion,Joffrey-Baratheon,3,3
Beric-Dondarrion,Lem,14,3
Beric-Dondarrion,Sandor-Clegane,15,3
Beric-Dondarrion,Thoros-of-Myr,26,3
Beric-Dondarrion,Tom-of-Sevenstreams,4,3
Big-Boil,Jon-Snow,3,3
Big-Boil,Ygritte,3,3
Biter,Rorge,3,3
Blane,Jeor-Mormont,3,3
Boros-Blount,Cersei-Lannister,4,3
Boros-Blount,Jaime-Lannister,6,3
Boros-Blount,Loras-Tyrell,5,3
Boros-Blount,Meryn-Trant,6,3
Boros-Blount,Tommen-Baratheon,7,3
Boros-Blount,Tyrion-Lannister,6,3
Bowen-Marsh,Cotter-Pyke,3,3
Bowen-Marsh,Denys-Mallister,5,3
Bowen-Marsh,Donal-Noye,4,3
Bowen-Marsh,Eddison-Tollett,3,3
Bowen-Marsh,Hobb,3,3
Bowen-Marsh,Janos-Slynt,10,3
Bowen-Marsh,Jeor-Mormont,8,3
Bowen-Marsh,Jon-Snow,5,3
Bowen-Marsh,Othell-Yarwyck,9,3
Bowen-Marsh,Samwell-Tarly,7,3
Bran-Stark,Catelyn-Stark,3,3
Bran-Stark,Coldhands,4,3
Bran-Stark,Eddard-Stark,7,3
Bran-Stark,Hodor,71,3
Bran-Stark,Joffrey-Baratheon,3,3
Bran-Stark,Jojen-Reed,48,3
Bran-Stark,Jon-Snow,13,3
Bran-Stark,Jon-Umber-(Greatjon),3,3
Bran-Stark,Meera-Reed,54,3
Bran-Stark,Nan,14,3
Bran-Stark,Rickon-Stark,31,3
Bran-Stark,Robb-Stark,18,3
Bran-Stark,Samwell-Tarly,11,3
Bran-Stark,Sansa-Stark,10,3
Bran-Stark,Theon-Greyjoy,9,3
Brandon-Stark,Eddard-Stark,8,3
Brandon-Stark,Rickon-Stark,3,3
Brandon-Stark,Robb-Stark,3,3
Brella,Sansa-Stark,4,3
Brella,Shae,4,3
Brenett,Catelyn-Stark,3,3
Brienne-of-Tarth,Catelyn-Stark,7,3
Brienne-of-Tarth,Cersei-Lannister,5,3
Brienne-of-Tarth,Cleos-Frey,12,3
Brienne-of-Tarth,Elmar-Frey,6,3
Brienne-of-Tarth,Jaime-Lannister,87,3
Brienne-of-Tarth,Loras-Tyrell,6,3
Brienne-of-Tarth,Qyburn,3,3
Brienne-of-Tarth,Robb-Stark,5,3
Brienne-of-Tarth,Roose-Bolton,11,3
Brienne-of-Tarth,Sansa-Stark,5,3
Brienne-of-Tarth,Tyrion-Lannister,4,3
Brienne-of-Tarth,Vargo-Hoat,4,3
Brienne-of-Tarth,Walton,3,3
Bronn,Cersei-Lannister,8,3
Bronn,Gregor-Clegane,4,3
Bronn,Joffrey-Baratheon,3,3
Bronn,Lollys-Stokeworth,3,3
Bronn,Mandon-Moore,3,3
Bronn,Oberyn-Martell,4,3
Bronn,Podrick-Payne,17,3
Bronn,Tommen-Baratheon,4,3
Bronn,Tyrion-Lannister,32,3
Bronn,Tywin-Lannister,3,3
Bronn,Varys,4,3
Brynden-Tully,Catelyn-Stark,5,3
Brynden-Tully,Edmure-Tully,6,3
Brynden-Tully,Rickard-Karstark,4,3
Brynden-Tully,Robb-Stark,12,3
Brynden-Tully,Tywin-Lannister,4,3
Brynden-Tully,Walder-Frey,4,3
Butterbumps,Olenna-Redwyne,4,3
Butterbumps,Sansa-Stark,6,3
Byam-Flint,Craster,3,3
Catelyn-Stark,Cersei-Lannister,4,3
Catelyn-Stark,Cleos-Frey,4,3
Catelyn-Stark,Dacey-Mormont,5,3
Catelyn-Stark,Desmond-Grell,6,3
Catelyn-Stark,Eddard-Stark,7,3
Catelyn-Stark,Edmure-Tully,18,3
Catelyn-Stark,Elmar-Frey,5,3
Catelyn-Stark,Hoster-Tully,16,3
Catelyn-Stark,Jaime-Lannister,19,3
Catelyn-Stark,Jason-Mallister,5,3
Catelyn-Stark,Jeyne-Westerling,13,3
Catelyn-Stark,Joffrey-Baratheon,3,3
Catelyn-Stark,Jon-Umber-(Greatjon),10,3
Catelyn-Stark,Lothar-Frey,3,3
Catelyn-Stark,Lysa-Arryn,15,3
Catelyn-Stark,Maege-Mormont,6,3
Catelyn-Stark,Marq-Piper,3,3
Catelyn-Stark,Petyr-Baelish,6,3
Catelyn-Stark,Raynald-Westerling,5,3
Catelyn-Stark,Rickard-Karstark,6,3
Catelyn-Stark,Robb-Stark,48,3
Catelyn-Stark,Robin-Ryger,3,3
Catelyn-Stark,Rodrik-Cassel,3,3
Catelyn-Stark,Roose-Bolton,10,3
Catelyn-Stark,Roslin-Frey,7,3
Catelyn-Stark,Ryman-Frey,6,3
Catelyn-Stark,Sansa-Stark,11,3
Catelyn-Stark,Stannis-Baratheon,4,3
Catelyn-Stark,Tansy,8,3
Catelyn-Stark,Tyrion-Lannister,7,3
Catelyn-Stark,Vyman,9,3
Catelyn-Stark,Walder-Frey,25,3
Cersei-Lannister,Dunsen,6,3
Cersei-Lannister,Eddard-Stark,6,3
Cersei-Lannister,Elia-Martell,4,3
Cersei-Lannister,Ellaria-Sand,4,3
Cersei-Lannister,Gregor-Clegane,7,3
Cersei-Lannister,Ilyn-Payne,8,3
Cersei-Lannister,Jaime-Lannister,35,3
Cersei-Lannister,Joffrey-Baratheon,44,3
Cersei-Lannister,Kevan-Lannister,5,3
Cersei-Lannister,Lancel-Lannister,3,3
Cersei-Lannister,Lysa-Arryn,4,3
Cersei-Lannister,Mace-Tyrell,6,3
Cersei-Lannister,Mandon-Moore,4,3
Cersei-Lannister,Margaery-Tyrell,6,3
Cersei-Lannister,Meryn-Trant,13,3
Cersei-Lannister,Oberyn-Martell,9,3
Cersei-Lannister,Olenna-Redwyne,5,3
Cersei-Lannister,Osmund-Kettleblack,8,3
Cersei-Lannister,Polliver,6,3
Cersei-Lannister,Pycelle,4,3
Cersei-Lannister,Rafford,6,3
Cersei-Lannister,Robert-Baratheon,14,3
Cersei-Lannister,Sandor-Clegane,5,3
Cersei-Lannister,Sansa-Stark,21,3
Cersei-Lannister,Shae,4,3
Cersei-Lannister,Tickler,6,3
Cersei-Lannister,Tommen-Baratheon,4,3
Cersei-Lannister,Tyrion-Lannister,54,3
Cersei-Lannister,Tywin-Lannister,20,3
Cersei-Lannister,Varys,4,3
Cersei-Lannister,Willas-Tyrell,5,3
Chataya,Tyrion-Lannister,4,3
Chett,Jeor-Mormont,6,3
Chett,Lark,9,3
Chett,Qhorin-Halfhand,3,3
Chett,Samwell-Tarly,4,3
Chett,Small-Paul,8,3
Cleon,Daenerys-Targaryen,4,3
Cleon,Ghael,5,3
Cleos-Frey,Jaime-Lannister,25,3
Clubfoot-Karl,Craster,6,3
Clubfoot-Karl,Samwell-Tarly,3,3
Clydas,Hobb,6,3
Clydas,Jon-Snow,10,3
Clydas,Samwell-Tarly,6,3
Coldhands,Gilly,3,3
Cotter-Pyke,Denys-Mallister,14,3
Cotter-Pyke,Eddison-Tollett,3,3
Cotter-Pyke,Jon-Snow,3,3
Cotter-Pyke,Othell-Yarwyck,6,3
Cotter-Pyke,Pypar,3,3
Cotter-Pyke,Samwell-Tarly,10,3
Cotter-Pyke,Stannis-Baratheon,5,3
Craster,Dirk,6,3
Craster,Eddison-Tollett,3,3
Craster,Gilly,16,3
Craster,Grenn,3,3
Craster,Jeor-Mormont,8,3
Craster,Jojen-Reed,3,3
Craster,Jon-Snow,7,3
Craster,Mance-Rayder,6,3
Craster,Samwell-Tarly,32,3
Craster,Tormund,3,3
Cressen,Davos-Seaworth,4,3
Daario-Naharis,Daenerys-Targaryen,15,3
Daario-Naharis,Drogo,3,3
Daario-Naharis,Irri,3,3
Daario-Naharis,Jorah-Mormont,10,3
Daario-Naharis,Prendahl-na-Ghezn,3,3
Daario-Naharis,Sallor,3,3
Dacey-Mormont,Maege-Mormont,3,3
Dacey-Mormont,Robb-Stark,3,3
Daenerys-Targaryen,Drogo,7,3
Daenerys-Targaryen,Ghael,3,3
Daenerys-Targaryen,Grey-Worm,14,3
Daenerys-Targaryen,Groleo,6,3
Daenerys-Targaryen,Irri,17,3
Daenerys-Targaryen,Jhiqui,17,3
Daenerys-Targaryen,Jhogo,4,3
Daenerys-Targaryen,Jorah-Mormont,53,3
Daenerys-Targaryen,Kraznys-mo-Nakloz,16,3
Daenerys-Targaryen,Mero,5,3
Daenerys-Targaryen,Missandei,26,3
Daenerys-Targaryen,Oznak-zo-Pahl,4,3
Daenerys-Targaryen,Rakharo,7,3
Daenerys-Targaryen,Rhaegar-Targaryen,13,3
Daenerys-Targaryen,Rhaegel-Targaryen,5,3
Daenerys-Targaryen,Robert-Baratheon,8,3
Daenerys-Targaryen,Viserys-Targaryen,8,3
Daeron-I-Targaryen,Shireen-Baratheon,3,3
Dalla,Jon-Snow,6,3
Dalla,Mance-Rayder,10,3
Dalla,Val,7,3
Davos-Seaworth,Devan-Seaworth,5,3
Davos-Seaworth,Edric-Storm,19,3
Davos-Seaworth,Guncer-Sunglass,3,3
Davos-Seaworth,Joffrey-Baratheon,10,3
Davos-Seaworth,Khorane-Sathmantes,4,3
Davos-Seaworth,Lamprey,8,3
Davos-Seaworth,Melisandre,40,3
Davos-Seaworth,Porridge,6,3
Davos-Seaworth,Pylos,15,3
Davos-Seaworth,Salladhor-Saan,22,3
Davos-Seaworth,Selyse-Florent,6,3
Davos-Seaworth,Shireen-Baratheon,9,3
Davos-Seaworth,Stannis-Baratheon,52,3
Denys-Mallister,Eddison-Tollett,3,3
Denys-Mallister,Janos-Slynt,3,3
Denys-Mallister,Othell-Yarwyck,4,3
Denys-Mallister,Pypar,4,3
Denys-Mallister,Samwell-Tarly,14,3
Desmond-Grell,Edmure-Tully,4,3
Desmond-Grell,Robb-Stark,4,3
Desmond-Grell,Utherydes-Wayn,6,3
Devan-Seaworth,Pylos,3,3
Devan-Seaworth,Stannis-Baratheon,4,3
Dick-Follard,Jon-Snow,3,3
Dick-Follard,Satin,5,3
Dirk,Samwell-Tarly,4,3
Donal-Noye,Jeor-Mormont,4,3
Donal-Noye,Jon-Snow,33,3
Donal-Noye,Mag-Mar-Tun-Doh-Weg,6,3
Donal-Noye,Mance-Rayder,3,3
Donal-Noye,Qhorin-Halfhand,3,3
Donal-Noye,Stannis-Baratheon,4,3
Dontos-Hollard,Joffrey-Baratheon,10,3
Dontos-Hollard,Lothor-Brune,3,3
Dontos-Hollard,Moon-Boy,3,3
Dontos-Hollard,Petyr-Baelish,4,3
Dontos-Hollard,Sansa-Stark,13,3
Dontos-Hollard,Tyrion-Lannister,7,3
Dontos-Hollard,Willas-Tyrell,3,3
Doran-Martell,Gregor-Clegane,3,3
Doran-Martell,Oberyn-Martell,4,3
Doran-Martell,Tyrion-Lannister,10,3
Drogo,Irri,3,3
Drogo,Jorah-Mormont,8,3
Dunsen,Gregor-Clegane,11,3
Dunsen,Ilyn-Payne,6,3
Dunsen,Joffrey-Baratheon,6,3
Dunsen,Meryn-Trant,6,3
Dunsen,Polliver,9,3
Dunsen,Rafford,10,3
Dunsen,Sandor-Clegane,7,3
Dunsen,Tickler,9,3
Dywen,Eddison-Tollett,5,3
Dywen,Grenn,4,3
Dywen,Jeor-Mormont,4,3
Dywen,Samwell-Tarly,6,3
Eddard-Stark,Gregor-Clegane,3,3
Eddard-Stark,Jaime-Lannister,6,3
Eddard-Stark,Joffrey-Baratheon,3,3
Eddard-Stark,Jon-Snow,4,3
Eddard-Stark,Rickon-Stark,8,3
Eddard-Stark,Robb-Stark,13,3
Eddard-Stark,Robert-Baratheon,7,3
Eddard-Stark,Sandor-Clegane,4,3
Eddard-Stark,Sansa-Stark,6,3
Eddard-Stark,Torrhen-Stark,3,3
Eddard-Stark,Tyrion-Lannister,3,3
Eddison-Tollett,Grenn,13,3
Eddison-Tollett,Jeor-Mormont,5,3
Eddison-Tollett,Othell-Yarwyck,3,3
Eddison-Tollett,Pypar,5,3
Eddison-Tollett,Samwell-Tarly,15,3
Eddison-Tollett,Watt,3,3
Edmure-Tully,Elmar-Frey,3,3
Edmure-Tully,Hoster-Tully,11,3
Edmure-Tully,Jaime-Lannister,4,3
Edmure-Tully,Lothar-Frey,4,3
Edmure-Tully,Marq-Piper,5,3
Edmure-Tully,Robb-Stark,34,3
Edmure-Tully,Roslin-Frey,15,3
Edmure-Tully,Tansy,3,3
Edmure-Tully,Tywin-Lannister,3,3
Edmure-Tully,Walder-Frey,9,3
Edric-Storm,Pylos,9,3
Edric-Storm,Robert-Baratheon,3,3
Edric-Storm,Shireen-Baratheon,3,3
Edric-Storm,Stannis-Baratheon,6,3
Elia-Martell,Gregor-Clegane,7,3
Elia-Martell,Jaime-Lannister,4,3
Elia-Martell,Oberyn-Martell,9,3
Elia-Martell,Rhaegar-Targaryen,7,3
Elia-Martell,Tyrion-Lannister,6,3
Elinor-Tyrell,Megga-Tyrell,8,3
Elinor-Tyrell,Sansa-Stark,5,3
Ellaria-Sand,Oberyn-Martell,7,3
Ellaria-Sand,Tyrion-Lannister,4,3
Elmar-Frey,Jaime-Lannister,6,3
Elmar-Frey,Robb-Stark,9,3
Elmar-Frey,Roose-Bolton,3,3
Elmar-Frey,Tywin-Lannister,3,3
Elmar-Frey,Walder-Frey,6,3
Errok,Grigg,7,3
Errok,Jon-Snow,4,3
Errok,Styr,3,3
Galbart-Glover,Robett-Glover,3,3
Galyeon-of-Cuy,Tyrion-Lannister,3,3
Garlan-Tyrell,Joffrey-Baratheon,6,3
Garlan-Tyrell,Leonette-Fossoway,3,3
Garlan-Tyrell,Loras-Tyrell,6,3
Garlan-Tyrell,Sansa-Stark,5,3
Garlan-Tyrell,Tyrion-Lannister,11,3
Garlan-Tyrell,Willas-Tyrell,3,3
Gawen-Westerling,Jeyne-Westerling,3,3
Gawen-Westerling,Sybell-Spicer,3,3
Gendel,Gorne,3,3
Gendel,Jon-Snow,3,3
Gendry,Greenbeard,3,3
Gendry,Harwin,8,3
Gendry,Hot-Pie,30,3
Gendry,Lem,9,3
Gendry,Merrit,3,3
Gendry,Robert-Baratheon,3,3
Gendry,Sandor-Clegane,5,3
Gendry,Thoros-of-Myr,8,3
Gendry,Tom-of-Sevenstreams,10,3
Gerold-Hightower,Jaime-Lannister,4,3
Gerold-Hightower,Lewyn-Martell,3,3
Gilly,Jojen-Reed,3,3
Gilly,Jon-Snow,8,3
Gilly,Mance-Rayder,6,3
Gilly,Meera-Reed,3,3
Gilly,Samwell-Tarly,35,3
Gilly,Small-Paul,3,3
Gorne,Jon-Snow,3,3
Grazdan-mo-Eraz,Mero,3,3
Greenbeard,Harwin,4,3
Greenbeard,Lem,12,3
Greenbeard,Thoros-of-Myr,3,3
Greenbeard,Tom-of-Sevenstreams,4,3
Gregor-Clegane,Helman-Tallhart,3,3
Gregor-Clegane,Ilyn-Payne,7,3
Gregor-Clegane,Jaime-Lannister,7,3
Gregor-Clegane,Joffrey-Baratheon,9,3
Gregor-Clegane,Meryn-Trant,6,3
Gregor-Clegane,Oberyn-Martell,39,3
Gregor-Clegane,Polliver,11,3
Gregor-Clegane,Rafford,12,3
Gregor-Clegane,Robb-Stark,4,3
Gregor-Clegane,Sandor-Clegane,10,3
Gregor-Clegane,Tickler,12,3
Gregor-Clegane,Tyrion-Lannister,23,3
Gregor-Clegane,Tywin-Lannister,5,3
Grenn,Jeor-Mormont,7,3
Grenn,Jon-Snow,30,3
Grenn,Kegs,5,3
Grenn,Owen,4,3
Grenn,Pypar,28,3
Grenn,Samwell-Tarly,43,3
Grenn,Small-Paul,3,3
Grey-Worm,Jorah-Mormont,4,3
Grigg,Jarl,3,3
Grigg,Jon-Snow,5,3
Grisel,Petyr-Baelish,3,3
Guncer-Sunglass,Melisandre,4,3
Gyles-Rosby,Jalabhar-Xho,4,3
Halder,Jon-Snow,3,3
Halder,Todder,3,3
Hareth-(Moles-Town),Jon-Snow,8,3
Hareth-(Moles-Town),Kegs,3,3
Hareth-(Moles-Town),Mully,3,3
Hareth-(Moles-Town),Satin,5,3
Hareth-(Moles-Town),Spare-Boot,3,3
Harma,Jarl,3,3
Harma,Jon-Snow,7,3
Harma,Mance-Rayder,10,3
Harma,Rattleshirt,5,3
Harma,Styr,4,3
Harma,Tormund,4,3
Harma,Varamyr,3,3
Harma,Weeper,3,3
Harwin,Lem,7,3
Harwin,Sandor-Clegane,3,3
Helman-Tallhart,Randyll-Tarly,3,3
Helman-Tallhart,Robett-Glover,4,3
High-Septon-(Tyrions),Joffrey-Baratheon,6,3
High-Septon-(Tyrions),Pycelle,3,3
High-Septon-(Tyrions),Tyrion-Lannister,3,3
Hobb,Janos-Slynt,4,3
Hobb,Othell-Yarwyck,3,3
Hobb,Owen,3,3
Hobb,Samwell-Tarly,3,3
Hodor,Jojen-Reed,24,3
Hodor,Meera-Reed,28,3
Hoster-Tully,Jaime-Lannister,4,3
Hoster-Tully,Lothar-Frey,5,3
Hoster-Tully,Lysa-Arryn,6,3
Hoster-Tully,Robb-Stark,4,3
Hoster-Tully,Tansy,5,3
Hoster-Tully,Vyman,4,3
Hot-Pie,Lem,7,3
Hot-Pie,Sharna,3,3
Hot-Pie,Tom-of-Sevenstreams,4,3
Husband,Lem,4,3
Ilyn-Payne,Joffrey-Baratheon,9,3
Ilyn-Payne,Meryn-Trant,6,3
Ilyn-Payne,Polliver,5,3
Ilyn-Payne,Rafford,6,3
Ilyn-Payne,Sandor-Clegane,5,3
Ilyn-Payne,Tickler,6,3
Ilyn-Payne,Tyrion-Lannister,6,3
Irri,Jhiqui,15,3
Irri,Jorah-Mormont,3,3
Irri,Missandei,4,3
Jack-Be-Lucky,Lem,5,3
Jack-Bulwer,Thoros-of-Myr,5,3
Jaime-Lannister,Joffrey-Baratheon,21,3
Jaime-Lannister,Lem,6,3
Jaime-Lannister,Loras-Tyrell,24,3
Jaime-Lannister,Lysa-Arryn,3,3
Jaime-Lannister,Meryn-Trant,9,3
Jaime-Lannister,Oberyn-Martell,3,3
Jaime-Lannister,Osmund-Kettleblack,5,3
Jaime-Lannister,Qyburn,21,3
Jaime-Lannister,Renly-Baratheon,9,3
Jaime-Lannister,Rickard-Karstark,4,3
Jaime-Lannister,Robb-Stark,17,3
Jaime-Lannister,Robert-Baratheon,18,3
Jaime-Lannister,Robin-Ryger,9,3
Jaime-Lannister,Roose-Bolton,17,3
Jaime-Lannister,Rorge,9,3
Jaime-Lannister,Sansa-Stark,9,3
Jaime-Lannister,Shagwell,4,3
Jaime-Lannister,Stannis-Baratheon,6,3
Jaime-Lannister,Thoros-of-Myr,3,3
Jaime-Lannister,Tommen-Baratheon,10,3
Jaime-Lannister,Tyrion-Lannister,33,3
Jaime-Lannister,Tywin-Lannister,16,3
Jaime-Lannister,Urswyck,11,3
Jaime-Lannister,Vargo-Hoat,16,3
Jaime-Lannister,Varys,5,3
Jaime-Lannister,Walton,18,3
Janos-Slynt,Jon-Snow,10,3
Janos-Slynt,Mance-Rayder,6,3
Janos-Slynt,Othell-Yarwyck,9,3
Janos-Slynt,Samwell-Tarly,7,3
Janos-Slynt,Stannis-Baratheon,4,3
Janos-Slynt,Tyrion-Lannister,5,3
Jarl,Jon-Snow,21,3
Jarl,Mance-Rayder,8,3
Jarl,Rattleshirt,6,3
Jarl,Styr,16,3
Jarl,Val,5,3
Jarl,Ygritte,6,3
Jason-Mallister,Tytos-Blackwood,3,3
Jeor-Mormont,Jon-Snow,19,3
Jeor-Mormont,Lark,3,3
Jeor-Mormont,Othell-Yarwyck,3,3
